label,sample,spectral_band_width,spectral_centroid,spectral_rolloff,sr,zero_crossings,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
Supernatural,"[ 3.5482785e-08  1.0161084e-08 -9.5575921e-09 ... -5.8853086e-02
 -5.4761581e-02 -5.3298485e-02]",1337.8651628472721,1169.9960996903717,2134.103762033185,22050.0,41079.0,0.4038393497467041,0.42867857217788696,0.43657076358795166,0.5173471570014954,0.5699581503868103,0.5672714114189148,0.5583165287971497,0.42095890641212463,0.4724469780921936,0.3266030550003052,0.30440858006477356,0.28553709387779236,-225.4110870361328,161.89100646972656,-11.345759391784668,25.409666061401367,-0.5350813269615173,3.9266953468322754,0.7465804219245911,2.9334144592285156,-2.293565034866333,-2.8550667762756348,7.628553867340088,-1.6795146465301514,-3.413339138031006,1.4687784910202026,-1.795192837715149,-5.572999477386475,-6.1895527839660645,-3.797502279281616,-8.024160385131836,-7.506863117218018
Supernatural,"[-0.04058851 -0.03929945 -0.0362899  ... -0.11191505 -0.08327824
 -0.05217657]",1510.489807542491,934.1475092305675,1902.9634930401025,22050.0,21038.0,0.3981664180755615,0.46523791551589966,0.3184070289134979,0.39834561944007874,0.43576568365097046,0.3926500380039215,0.5038473606109619,0.46731430292129517,0.6039174795150757,0.49608114361763,0.41348615288734436,0.35846146941185,-162.3717041015625,172.89024353027344,24.256650924682617,21.071744918823242,3.445207118988037,12.362224578857422,2.5826146602630615,10.009257316589355,-5.386670112609863,10.461546897888184,3.78065824508667,1.3547627925872803,3.018930196762085,2.3602616786956787,0.8795613646507263,-1.032806634902954,-3.903528928756714,0.5601186752319336,-2.8927810192108154,-1.5248667001724243
Supernatural,"[-0.02901828 -0.02818773 -0.06268451 ...  0.27399218  0.26332927
  0.24964726]",1684.65116057704,1039.929123939998,2222.7365594161183,22050.0,21287.0,0.4212443232536316,0.5396487712860107,0.35199302434921265,0.37131720781326294,0.422760009765625,0.394032746553421,0.5285841226577759,0.4734156131744385,0.5897746086120605,0.4938447177410126,0.4252948462963104,0.3767753541469574,-127.62681579589844,161.13157653808594,17.28166961669922,28.5585994720459,4.861782550811768,14.020407676696777,0.8035869598388672,14.145450592041016,-5.645260810852051,11.980636596679688,4.404323101043701,2.741727113723755,2.2084383964538574,3.7324535846710205,2.3169915676116943,0.9018107056617737,-2.138953924179077,0.9145324230194092,-5.254996299743652,0.22768405079841614
Supernatural,"[ 0.2363502   0.23986347  0.2289312  ... -0.06048116  0.01985709
  0.09070877]",1680.9269086796908,1183.4983232883963,2420.10203264077,22050.0,28888.0,0.3351011574268341,0.4387151896953583,0.37205418944358826,0.5568552017211914,0.4287063479423523,0.32622677087783813,0.4099561870098114,0.41923829913139343,0.5980825424194336,0.4909103810787201,0.3847934603691101,0.31172171235084534,-91.95695495605469,160.83853149414062,8.75340461730957,21.41956901550293,-0.504216730594635,13.704742431640625,-2.3404946327209473,11.53674030303955,-3.0155866146087646,8.263465881347656,4.346124172210693,4.665264129638672,0.19474098086357117,4.408707141876221,2.3457939624786377,1.6565053462982178,-2.194997549057007,0.9044197797775269,-3.5078139305114746,0.24202825129032135
Supernatural,[0.16039021 0.22871524 0.288445   ... 0.27790147 0.2924655  0.31420726],1881.5879712340454,1373.9101805788996,2827.3829032023996,22050.0,32754.0,0.36725321412086487,0.5037720203399658,0.3185789883136749,0.45171087980270386,0.3734526038169861,0.29348519444465637,0.4389490783214569,0.41308915615081787,0.6298242211341858,0.5250516533851624,0.41416993737220764,0.38698452711105347,-46.21644592285156,149.20790100097656,0.8785640597343445,17.74935531616211,-4.682053565979004,14.785748481750488,-2.972578525543213,14.266304969787598,-2.029036045074463,5.252203464508057,3.160280227661133,7.078794002532959,-1.2886195182800293,5.7876482009887695,2.4818003177642822,2.886080741882324,-1.181301236152649,1.9106875658035278,-3.4446561336517334,0.3840750753879547
Supernatural,"[ 0.32463995  0.3422736   0.3567752  ... -0.1891325  -0.16443844
 -0.1171122 ]",1612.4638908292752,1131.8280558095514,2189.2534285506968,22050.0,29281.0,0.3152214586734772,0.4222337007522583,0.4270927906036377,0.5575635433197021,0.47288116812705994,0.44149303436279297,0.44762974977493286,0.3893543779850006,0.41436535120010376,0.32050657272338867,0.5167837142944336,0.35837599635124207,-81.16015625,168.736572265625,3.2266385555267334,18.443092346191406,2.5858592987060547,12.143744468688965,-1.7396697998046875,12.135862350463867,-5.055716037750244,10.58456039428711,2.4428741931915283,3.3153231143951416,1.240216612815857,3.0327646732330322,3.375770330429077,3.393794298171997,-1.3276385068893433,2.175493001937866,-2.558487892150879,1.892777442932129
Supernatural,"[-0.0596316  -0.03596732 -0.0772453  ...  0.22029538  0.24488844
  0.20829508]",1965.1960291348516,1611.4892757200737,3301.613368928986,22050.0,42491.0,0.3229086101055145,0.4108743667602539,0.3543837368488312,0.5773046016693115,0.47381383180618286,0.32029563188552856,0.42031407356262207,0.3996680676937103,0.5903788208961487,0.5006612539291382,0.3949374258518219,0.3288128972053528,-16.99015235900879,132.8044891357422,-11.618351936340332,29.55434799194336,-1.7815258502960205,13.82677936553955,-1.4992772340774536,13.55909252166748,-4.2028937339782715,6.155290126800537,4.967463493347168,8.7426118850708,-2.4884579181671143,4.545423984527588,2.3190040588378906,4.356774806976318,-3.347841501235962,2.6773250102996826,-2.695188283920288,-0.7393467426300049
Supernatural,"[ 0.1500404   0.08173455  0.11810582 ... -0.1532551  -0.13945311
 -0.12793285]",1743.477895640504,1286.8339236774473,2575.5927590762867,22050.0,33241.0,0.3384649157524109,0.422675222158432,0.28992998600006104,0.4557458162307739,0.40174195170402527,0.2833858132362366,0.46140334010124207,0.3733105957508087,0.5827826857566833,0.4291671812534332,0.33017486333847046,0.3436540961265564,-54.519771575927734,158.28762817382812,-6.091436862945557,18.22203254699707,-0.20499952137470245,11.856178283691406,-2.8566930294036865,10.2870454788208,-5.47456169128418,8.458617210388184,2.787721872329712,4.640055179595947,0.043329671025276184,3.9161746501922607,0.5204787850379944,1.4351537227630615,-1.565596342086792,2.1546308994293213,-2.972130298614502,1.2537579536437988
Supernatural,"[ 0.32387596  0.2472675   0.1766958  ... -0.00071758 -0.00107758
  0.        ]",1671.6956992463324,1202.057777968223,2396.8605065124325,22050.0,30356.0,0.2961080074310303,0.37254589796066284,0.28366026282310486,0.4408312439918518,0.3396354615688324,0.23671568930149078,0.39979833364486694,0.42693695425987244,0.6945482492446899,0.47093766927719116,0.31150704622268677,0.3015155494213104,-117.80352783203125,155.4475555419922,4.053738117218018,21.127300262451172,1.5488923788070679,9.231435775756836,-2.1189115047454834,8.183213233947754,-5.160755634307861,6.529216766357422,3.5038092136383057,4.251231670379639,-0.3504904508590698,1.9239827394485474,0.2563294768333435,0.12067396938800812,-3.3356902599334717,0.9122634530067444,-1.7427784204483032,-0.5508832931518555
Supernatural,"[-1.2000839e-07  1.0245466e-08 -2.0272257e-07 ...  5.9408691e-02
  5.4094959e-02  3.4481954e-02]",1946.792986595273,2176.088735858667,3726.677465291215,22050.0,74333.0,0.9883884191513062,0.30850350856781006,0.08760938793420792,0.10007204860448837,0.14450794458389282,0.11770883947610855,0.11047045886516571,0.13148176670074463,0.09294116497039795,0.0946853756904602,0.09527014195919037,0.2757301330566406,-196.34132385253906,71.33172607421875,-54.055389404296875,25.445301055908203,-3.5870683193206787,-10.638025283813477,-8.182379722595215,12.729412078857422,-3.5730085372924805,-2.2724108695983887,-11.9381685256958,5.243812561035156,1.797208309173584,4.678184509277344,2.8911025524139404,5.041776180267334,-8.088016510009766,-4.1982951164245605,-8.215702056884766,-3.076582193374634
